[2023-12-25T16:32:28.193+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_bash_dag.execute_command manual__2023-12-25T16:32:27.471005+00:00 [queued]>
[2023-12-25T16:32:28.203+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_bash_dag.execute_command manual__2023-12-25T16:32:27.471005+00:00 [queued]>
[2023-12-25T16:32:28.204+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2023-12-25T16:32:28.204+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 1
[2023-12-25T16:32:28.204+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2023-12-25T16:32:28.226+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): execute_command> on 2023-12-25 16:32:27.471005+00:00
[2023-12-25T16:32:28.234+0000] {standard_task_runner.py:55} INFO - Started process 3238 to run task
[2023-12-25T16:32:28.237+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'my_bash_dag', 'execute_command', 'manual__2023-12-25T16:32:27.471005+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/my_bash_dag.py', '--cfg-path', '/tmp/tmprr0_mhfy']
[2023-12-25T16:32:28.237+0000] {standard_task_runner.py:83} INFO - Job 81: Subtask execute_command
[2023-12-25T16:32:28.306+0000] {task_command.py:376} INFO - Running <TaskInstance: my_bash_dag.execute_command manual__2023-12-25T16:32:27.471005+00:00 [running]> on host 4d1993f85b22
[2023-12-25T16:32:28.343+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/configuration.py:549: DeprecationWarning: The sensitive_variable_fields option in [admin] has been moved to the sensitive_var_conn_names option in [core] - the old setting has been used, but please update your config.
  option = self._get_option_from_config_file(deprecated_key, deprecated_section, key, kwargs, section)

[2023-12-25T16:32:28.394+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=my_bash_dag
AIRFLOW_CTX_TASK_ID=execute_command
AIRFLOW_CTX_EXECUTION_DATE=2023-12-25T16:32:27.471005+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-12-25T16:32:27.471005+00:00
[2023-12-25T16:32:28.395+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2023-12-25T16:32:28.396+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', '#!/bin/bash\n\n#echo "execute my command"\n\nenv\n\nexit 0']
[2023-12-25T16:32:28.417+0000] {subprocess.py:86} INFO - Output:
[2023-12-25T16:32:28.420+0000] {subprocess.py:93} INFO - AIRFLOW__WEBSERVER__DAG_DEFAULT_VIEW=grid
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - CELERY_LOG_FILE=
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - AIRFLOW__CELERY__RESULT_BACKEND=db+postgresql://***:***@postgres/***
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - AIRFLOW_CTX_DAG_OWNER=***
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - DUMB_INIT_SETSID=0
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - HOSTNAME=4d1993f85b22
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - PYTHON_VERSION=3.7.15
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - LANGUAGE=C.UTF-8
[2023-12-25T16:32:28.421+0000] {subprocess.py:93} INFO - CELERY_LOG_REDIRECT=1
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - AIRFLOW_CTX_DAG_RUN_ID=manual__2023-12-25T16:32:27.471005+00:00
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - AIRFLOW_USER_HOME_DIR=/home/***
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - ADDITIONAL_RUNTIME_APT_DEPS=
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - PWD=/tmp/***tmpndkrx60d
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - AIRFLOW__CELERY__BROKER_URL=redis://:@redis:6379/0
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - AIRFLOW_VERSION=2.4.2
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - AIRFLOW__CORE__LOAD_EXAMPLES=false
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - _MP_FORK_LOGFORMAT_=[%(asctime)s: %(levelname)s/%(processName)s] %(message)s
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - AIRFLOW__API__AUTH_BACKENDS=***.api.auth.backend.basic_auth,***.api.auth.backend.session
[2023-12-25T16:32:28.422+0000] {subprocess.py:93} INFO - INSTALL_MSSQL_CLIENT=true
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - PYTHON_SETUPTOOLS_VERSION=57.5.0
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - _AIRFLOW_PARSING_CONTEXT_DAG_ID=my_bash_dag
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - GUNICORN_CMD_ARGS=--worker-tmp-dir /dev/shm
